case,variant,real_s,log
Bakery3,SMT,UNSAT,0.930,_outfiles/logs/Bakery3_SMT.log
Bakery3,AH,UNSAT,1.710,_outfiles/logs/Bakery3_AH.log
Bakery7,SMT,UNSAT,0.760,_outfiles/logs/Bakery7_SMT.log
Bakery7,AH,UNSAT,6.040,_outfiles/logs/Bakery7_AH.log
Bakery9,SMT,UNSAT,4.060,_outfiles/logs/Bakery9_SMT.log
Bakery9,AH,TIMEOUT,10.000,_outfiles/logs/Bakery9_AH.log
Bakery11,SMT,TIMEOUT,10.000,_outfiles/logs/Bakery11_SMT.log
Bakery11,AH,TIMEOUT,10.000,_outfiles/logs/Bakery11_AH.log
SNARK1,SMT,UNSAT,2.720,_outfiles/logs/SNARK1_SMT.log
SNARK1,AH,UNSAT,7.730,_outfiles/logs/SNARK1_AH.log
NI_correct,SMT,SAT,1.980,_outfiles/logs/NI_correct_SMT.log
NI_correct,AH,SAT,0.750,_outfiles/logs/NI_correct_AH.log
NI_incorrect,SMT,UNSAT,2.980,_outfiles/logs/NI_incorrect_SMT.log
NI_incorrect,AH,UNSAT,2.600,_outfiles/logs/NI_incorrect_AH.log
NRP_correct,SMT,SAT,0.660,_outfiles/logs/NRP_correct_SMT.log
NRP_correct,AH,SAT,0.560,_outfiles/logs/NRP_correct_AH.log
NRP_incorrect,SMT,UNSAT,0.610,_outfiles/logs/NRP_incorrect_SMT.log
NRP_incorrect,AH,UNSAT,1.070,_outfiles/logs/NRP_incorrect_AH.log
Robustness100,SMT,SAT,0.760,_outfiles/logs/Robustness100_SMT.log
Robustness100,AH,SAT,6.320,_outfiles/logs/Robustness100_AH.log
Robustness400,SMT,SAT,2.600,_outfiles/logs/Robustness400_SMT.log
Robustness400,AH,TIMEOUT,10.000,_outfiles/logs/Robustness400_AH.log
Robustness1600,SMT,SAT,5.450,_outfiles/logs/Robustness1600_SMT.log
Robustness1600,AH,TIMEOUT,10.000,_outfiles/logs/Robustness1600_AH.log
Robustness3600,SMT,TIMEOUT,10.000,_outfiles/logs/Robustness3600_SMT.log
Robustness3600,AH,TIMEOUT,10.000,_outfiles/logs/Robustness3600_AH.log
SP100,SMT,SAT,1.550,_outfiles/logs/SP100_SMT.log
SP100,AH,SAT,5.260,_outfiles/logs/SP100_AH.log
SP400,SMT,TIMEOUT,10.000,_outfiles/logs/SP400_SMT.log
SP400,AH,TIMEOUT,10.000,_outfiles/logs/SP400_AH.log
SP1600,SMT,TIMEOUT,10.000,_outfiles/logs/SP1600_SMT.log
SP1600,AH,TIMEOUT,10.000,_outfiles/logs/SP1600_AH.log
SP3600,SMT,TIMEOUT,10.000,_outfiles/logs/SP3600_SMT.log
SP3600,AH,TIMEOUT,10.000,_outfiles/logs/SP3600_AH.log
Mutation,SMT,SAT,0.760,_outfiles/logs/Mutation_SMT.log
Mutation,AH,SAT,0.830,_outfiles/logs/Mutation_AH.log
